Giannis Antetokounmpo,67,34.1,30.4,11.9,6.5,0.9,1.2,60.1,22.2,61.7
Damian Lillard,72,36.1,24.9,4.7,7.1,1.2,0.2,44.8,37.6,92.1
Khris Middleton,55,27.0,15.1,4.7,5.3,0.9,0.3,49.3,38.1,83.3
Brook Lopez,70,31.8,13.0,5.0,1.8,0.6,1.9,50.9,37.3,82.6
Bobby Portis,74,26.5,13.9,8.4,1.5,0.8,0.4,49.8,37.5,81.2
Kyle Kuzma,82,34.0,14.5,5.6,2.2,0.7,0.5,46.2,35.1,77.8
Kevin Porter Jr.,68,28.0,12.3,3.9,3.7,1.3,0.3,44.0,36.0,78.0
Jericho Sims,65,20.0,6.5,4.9,0.8,0.5,0.6,59.0,0.0,65.0
Pat Connaughton,60,22.0,7.2,3.2,1.5,0.7,0.3,43.5,38.0,80.0
Jamaree Bouyea,50,15.0,5.0,2.0,2.5,0.6,0.4,42.0,33.0,75.0
Thanasis Antetokounmpo,25,4.5,1.2,1.1,0.3,0.2,0.1,48.0,20.0,55.0
MarJon Beauchamp,45,18.0,6.0,2.5,1.0,0.7,0.4,44.5,34.0,70.0
AJ Green,52,12.3,4.2,1.0,0.7,0.5,0.2,43.0,39.8,85.0
Andre Jackson Jr.,48,15.0,3.8,3.4,2.1,0.9,0.3,41.0,30.2,68.0
Chris Livingston,20,10.5,2.0,1.8,0.4,0.3,0.1,39.5,25.0,60.0
