Donovan Mitchell,71,31.4,24.0,4.5,5.0,1.3,0.2,44.3,36.8,82.3
Darius Garland,75,30.7,20.6,2.9,6.7,1.2,0.1,47.2,40.1,87.8
Jarrett Allen,82,28.0,13.5,9.7,1.9,0.9,0.9,70.6,0.0,71.8
Evan Mobley,71,30.4,18.4,8.9,2.6,1.1,1.5,56.4,41.1,80.8
Ty Jerome,70,19.9,12.5,2.5,3.4,1.1,0.0,51.6,43.9,87.2
Max Strus,50,25.5,9.4,4.3,3.2,0.5,0.2,44.2,38.6,85.0
De'Andre Hunter,27,25.0,14.3,4.2,1.3,0.7,0.3,48.5,42.6,82.1
Sam Merrill,71,20.2,7.2,1.9,1.8,0.6,0.2,37.5,33.3,93.8
Isaac Okoro,55,21.0,6.6,2.3,1.7,0.7,0.4,49.5,49.2,71.4
Tristan Thompson,40,7.6,2.7,2.4,0.4,0.0,0.4,54.2,0.0,10.0
Craig Porter Jr.,16,9.4,2.8,0.9,1.4,0.3,0.4,58.1,45.5,60.0
Dean Wade,59,22.0,5.2,4.8,1.3,1.0,0.4,34.4,30.5,40.0
Jaylon Tyson,47,7.7,2.1,1.7,0.8,0.3,0.0,44.4,27.3,50.0
