Cade Cunningham,70,35.0,26.1,6.1,9.1,1.0,0.8,46.9,35.6,84.6
Jaden Ivey,30,29.9,17.6,4.1,4.0,0.9,0.4,46.0,40.9,73.3
Malik Beasley,82,27.8,16.3,2.6,1.7,0.9,0.1,43.0,41.6,67.9
Tobias Harris,73,31.6,13.7,5.9,2.2,1.0,0.8,47.7,34.5,86.1
Jalen Duren,78,28.5,12.0,10.3,2.7,0.6,1.1,61.2,0.0,62.0
Ausar Thompson,59,28.0,11.5,5.2,2.8,1.7,0.7,45.5,34.2,75.0
Isaiah Stewart,72,19.9,6.0,5.5,1.7,0.4,1.4,47.5,30.2,70.1
Dennis Schroder,28,30.0,13.2,3.3,3.2,1.2,0.3,45.0,38.0,82.0
Tim Hardaway Jr.,77,28.0,10.5,2.4,1.6,0.4,0.0,42.3,36.3,82.8
Marcus Sasser,57,13.5,5.5,1.1,1.9,0.8,0.2,47.8,33.9,100.0
Simone Fontecchio,75,18.0,6.5,2.9,0.9,0.4,0.2,40.4,34.9,81.8
Ron Holland II,81,15.5,6.4,2.9,0.7,0.5,0.2,48.7,21.9,81.0
Paul Reed,45,11.2,4.9,2.7,1.1,1.3,0.7,56.1,33.3,82.6
Wendell Moore Jr.,20,13.4,3.9,2.2,1.4,0.7,0.2,46.7,23.1,92.9
Lindy Waters III,14,10.0,4.0,1.0,0.5,0.4,0.1,40.0,36.0,75.0
Tolu Smith III,1,22.0,14.0,8.0,0.0,0.0,0.0,66.7,0.0,66.7
Cole Swider,2,6.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Daniss Jenkins,7,2.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Alondes Williams,1,4.0,5.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0
Bobi Klintman,8,5.0,1.0,0.9,0.3,0.1,0.1,42.9,25.0,50.0
