DeMar DeRozan,72,35.0,24.3,4.5,5.2,1.0,0.3,48.7,29.5,87.6
Zach LaVine,65,34.2,22.1,4.1,4.0,0.9,0.4,46.3,37.8,84.5
Nikola Vučević,78,33.5,17.8,10.4,3.2,0.7,0.9,52.1,35.0,76.4
Coby White,80,33.1,20.4,4.0,5.0,1.1,0.2,45.3,38.0,85.0
Josh Giddey,76,34.0,14.6,6.5,7.2,1.0,0.4,44.5,32.0,78.0
Matas Buzelis,70,28.0,11.5,5.2,2.8,0.9,0.7,45.5,34.2,75.0
Ayo Dosunmu,46,30.0,12.3,3.5,4.5,1.1,0.3,47.2,36.0,79.8
Kevin Huerter,26,30.0,13.2,3.3,3.2,1.2,0.3,45.0,38.0,82.0
Patrick Williams,60,25.0,9.5,4.0,1.5,0.8,0.6,46.0,36.5,80.0
Andre Drummond,58,20.0,8.0,9.0,1.0,1.0,1.0,55.0,0.0,60.0
Julian Phillips,40,10.0,3.2,1.5,0.8,0.6,0.4,43.0,30.0,75.0
Onuralp Bitim,35,9.0,2.5,1.2,0.7,0.4,0.2,41.5,33.5,70.0
Adama Sanogo,22,8.5,3.0,2.5,0.5,0.4,0.5,50.0,0.0,60.0
Terry Taylor,28,7.5,2.8,2.0,0.6,0.3,0.2,45.0,20.0,68.0
Dalen Terry,18,6.0,2.0,1.2,0.5,0.4,0.2,40.0,28.0,65.0
