Tyrese Haliburton,73,33.6,18.6,3.5,9.2,1.4,0.7,47.3,38.8,85.1
Pascal Siakam,39,33.2,19.9,7.3,3.3,0.8,0.3,52.6,42.0,74.5
Myles Turner,36,31.3,15.0,7.0,1.6,0.8,2.1,48.9,39.0,72.1
Bennedict Mathurin,39,32.8,16.6,6.2,1.9,0.6,0.3,46.2,36.3,83.1
T.J. McConnell,38,19.3,10.5,2.5,4.3,1.2,0.3,54.4,29.2,72.7
Andrew Nembhard,24,27.6,10.3,3.4,4.9,0.9,0.1,46.3,33.3,81.1
Aaron Nesmith,6,22.7,9.2,4.0,1.0,0.7,0.3,52.8,54.5,84.6
Obi Toppin,36,19.7,10.2,4.1,1.6,0.7,0.4,55.0,34.7,84.0
Ben Sheppard,25,19.9,5.4,2.6,1.0,0.4,0.3,41.0,37.2,100.0
Jarace Walker,39,17.2,6.4,3.2,1.4,1.0,0.3,46.1,40.0,64.0
Thomas Bryant,13,13.2,6.4,3.6,0.8,0.6,0.5,55.0,40.7,100.0
Johnny Furphy,25,8.5,2.4,1.2,0.4,0.3,0.2,38.2,34.4,100.0
